ra,dec,mjd_u,u,g,r,i,z,objID,err_i
12.1882475078465,-0.706309172822955,51819.38870721,25.43142,25.3138,21.84302,21.33245,20.49353,1237653011368116756,0.1182096
12.1882046251954,-0.706286318358267,52552.34392614,23.58845,23.74899,22.04611,21.06557,20.40765,1237659904789578559,0.0924391
12.1881737818852,-0.706334548945941,52935.25233815,26.17647,22.97451,22.06147,21.1678,20.33556,1237663525449892534,0.1357335
12.1882699657172,-0.706364969295714,52586.24493694,23.34137,23.19191,21.92176,20.94686,20.3286,1237660355752756027,0.1218522
12.1882374936048,-0.70636084020643,51136.16731706,24.03892,23.0589,21.08061,20.50094,20.45922,1237646646197551680,0.1351556
12.1882258518698,-0.706280598576126,52910.32509851,25.84729,23.1494,22.05694,21.19092,20.42871,1237663276322456368,0.09850153
12.188224326042,-0.706234013580914,54424.2049789,22.84613,22.92262,22.29406,21.28347,20.80794,1237676324423008808,0.1530169
12.1882008377417,-0.706303042013779,52522.34967462,22.49309,25.44095,21.98321,21.40802,20.65914,1237659754449142417,0.1515227
12.1881918243863,-0.706326636179432,52959.1957731901,23.53805,23.22103,22.38492,21.50712,20.94388,1237663714409055064,0.08921327
12.1881902343741,-0.706306588361197,52558.35263407,24.12859,23.16522,22.26478,21.14617,20.58861,1237660025045975719,0.09591592
12.1881584109071,-0.706399198379088,51081.31750627,22.55481,22.77446,21.06116,20.3521,19.94135,1237646010551632381,0.1063938
12.1881553934275,-0.706285792984686,52963.1755465901,22.67546,22.82021,21.63658,20.74178,20.01497,1237663783128990606,0.08505502
12.1882056564692,-0.706325214743704,52577.2399959,23.43256,23.61614,21.47599,20.98568,20.59631,1237660222616634122,0.1308131
12.1881907554083,-0.706307614700953,53352.14657602,23.19874,24.8492,21.74867,20.91836,20.90515,1237667171857728248,0.09452686
12.1882891119124,-0.706367128662054,52931.25539154,23.16264,22.90506,21.56866,21.11375,20.20757,1237663478202041046,0.1691618
