ra,dec,mjd_i,psfMag_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,flags
12.193563046179,-0.770008284357602,51819.3878788,21.01881,22.06493,21.5989,21.01773,20.28152,19.8156,8658177822391140555,0.06564704,68987912960
12.193558455598,-0.769987257890373,52552.3447596,21.06921,22.45744,21.76156,20.91261,20.29413,19.58346,8658466190789378335,0.05749112,68987912960
12.193579696563,-0.76996957603578,52558.3530531,20.93264,22.33616,22.25725,21.63071,20.64045,20.02943,8658184836068999558,0.05817427,2415919376
12.1936116256915,-0.769991381057822,52577.2404147,20.95042,22.8166,22.01154,21.17494,20.44365,20.03072,8658185033639658009,0.06336409,68987912464
12.193571232555,-0.769975829648296,52586.244109,21.00476,21.67492,21.4694,20.64572,20.12156,19.39121,8658185166775779686,0.07402092,68987912960
12.1936100112037,-0.769990182368512,52931.254564,20.97208,22.45903,22.19559,21.57642,20.66998,20.26342,8658188289225064922,0.06672611,71135396184
12.1935510710346,-0.770012885280114,52935.2515118,21.09405,22.01645,21.21361,20.54775,20.13524,19.17462,8658188336472916429,0.07743651,68987912448
12.1935772692812,-0.7699812401035,52963.1747175,21.1184,22.6613,22.39103,21.48484,20.67487,20.01753,8658188594152014364,0.05203523,68987912464
12.1935634290779,-0.769983775766087,53352.1457481,21.22986,22.27866,21.81203,21.02211,20.50836,19.75803,8658191982880752071,0.06876414,68987912960
12.1935394309562,-0.770043327388726,53655.28089453,21.05863,21.80992,21.48588,20.97558,20.45067,19.84148,8658194821877203265,0.09585865,68987912448
12.193578589243,-0.769979830148906,53669.26518442,21.23594,22.40121,22.24303,21.55225,20.91102,20.10052,8658195092456473211,0.06456508,68987912976
12.1935155568471,-0.769961947681504,53674.24964098,21.02491,24.74258,21.45293,20.77427,20.23099,19.30568,8658476657627103559,0.06754889,2278815695176
12.1935609422877,-0.769972066393651,53697.25942276,21.2286,22.14472,21.51768,20.89176,20.31584,19.6063,8658195603559022946,0.06907765,68987912448
12.1935394887394,-0.770043678769327,53700.25832294,20.94402,22.5799,21.87575,20.98059,20.34305,19.93174,8658195646510793044,0.0702055,68987912448
12.1935953131215,-0.770026417860125,53705.24519446,21.20845,22.36405,22.44154,21.45668,20.92994,20.27288,8658195728113074501,0.06804118,68987912464
12.1935821103208,-0.770005608939576,53975.32998955,21.14485,21.94085,21.06767,20.40277,19.82486,19.15773,8658197287184630245,0.0660182,69055021896
12.193579557921,-0.770001849470861,53990.34299049,20.91248,22.86471,21.44596,20.9322,20.10927,19.48447,8658197471842009422,0.08878767,68987912960
12.1935749239171,-0.770009681451498,53994.35298327,21.02216,22.04868,22.44618,21.57689,20.81726,20.10209,8658197579219206377,0.06695728,68987912720
12.193565054534,-0.770059873673936,53998.30527396,20.93709,21.69328,21.6368,20.90181,20.32496,19.91111,8658197673735094853,0.07296371,281543964623104
12.1935857414069,-0.76998610366347,54010.29104424,21.14655,22.21269,22.02301,21.1007,20.52347,19.69584,8658197879891362080,0.06013182,68987912464
12.1935275973395,-0.769973536977138,54020.28985248,20.85343,21.60993,21.85554,20.70106,20.06932,19.9079,8658197974382936400,0.07904131,281543964623104
12.1935263423121,-0.770013280566864,54028.35965822,20.95037,25.06229,21.52013,20.73634,20.34127,19.92797,8658198077428728112,0.09612121,217164284160
12.1935711814641,-0.770014648846767,54030.28329798,21.05247,23.16418,22.41346,21.6239,20.8302,20.0622,8658198111820317115,0.05882007,17661174092560
12.1935404796995,-0.769977447575065,54040.27893003,21.01497,21.59424,20.329,20.04803,19.65567,19.29428,8658198279323844925,0.1091442,281543964623104
12.1935445444757,-0.770007337054538,54053.26958412,21.08618,22.14295,21.81113,20.93289,20.36517,19.73533,8658198438239142454,0.07057128,69055021384
12.1935594372729,-0.770023239871067,54056.27160594,21.0346,25.41117,21.52174,20.75506,20.06123,19.33195,8658198494073127117,0.0712299,217164284160
12.1935142439325,-0.769990221943172,54061.27686853,20.87697,23.0748,21.49192,20.80133,20.32739,19.70638,8658198597387092191,0.08349011,68988043520
12.1935796750397,-0.770070545654227,54062.27072671,20.96916,21.96006,21.52156,20.83744,20.17756,19.61027,8658198614331359491,0.08461984,2278815695176
12.1935518581581,-0.770000587908668,54357.3089067,21.14313,21.84922,22.23288,21.36135,20.52614,20.20613,8658200156226126105,0.05722163,71135527184
12.1935779790856,-0.769961615401934,54362.35862503,21.01848,22.2265,21.46724,20.66175,20.16043,20.33332,8658200246410478036,0.07394294,41070756624
12.1935686456055,-0.770010247547741,54382.33890973,20.72862,22.63317,21.7439,21.06444,20.37185,19.48905,8658200512681476330,0.09042078,217164284160
12.1935736155412,-0.769988535045466,54385.35688376,21.07217,21.20718,21.48528,20.73184,20.04184,19.49395,8658200568541348111,0.05269524,68987912448
12.1935732143072,-0.769962829616849,54394.33990363,20.9387,22.31574,21.49267,20.79246,20.17651,19.93469,8658200710275334506,0.08690979,217164284672
12.1936666146132,-0.7699783034078,54402.35019506,21.12216,21.13924,21.89418,20.78415,20.36135,19.80462,8658200783287550290,0.1065629,217164284672
12.1935319373858,-0.770019476618364,54413.26320611,20.92454,22.19304,21.3008,20.70673,20.08167,19.57695,8658200972268863924,0.07301441,2278815695176
12.1935157676354,-0.769999589915981,54418.26328923,20.99678,22.28683,21.45245,20.78608,20.1747,19.42299,8658201040988996122,0.0642052,68988047616
12.1935582478812,-0.769936384244097,54422.2681472901,21.07912,22.08778,21.54859,20.74792,20.28629,19.62896,8658201092527423866,0.09569816,68987912960
12.1935607248391,-0.769983930703562,54424.20414969,21.2731,21.34567,21.71859,20.60569,20.11602,19.30484,8658201135446032730,0.1084539,68987912448
